# H0	ombh2	omch2	tau	As	ns	chisq
6.873231293621697091e+01 2.236578130864172453e-02 1.166638132680752754e-01 1.249893707596802933e-01 2.395493884880314208e-09 9.749348404397832901e-01 2.579173950856476040e+03
6.873231293621697091e+01 2.236578130864172453e-02 1.166638132680752754e-01 1.249893707596802933e-01 2.395493884880314208e-09 9.749348404397832901e-01 2.579173950856476040e+03
6.856862256381174348e+01 2.237444906890411617e-02 1.167939812613562750e-01 1.313793916485289925e-01 2.419975841030939836e-09 9.781554801223310003e-01 2.580501520964009615e+03
6.856862256381174348e+01 2.237444906890411617e-02 1.167939812613562750e-01 1.313793916485289925e-01 2.419975841030939836e-09 9.781554801223310003e-01 2.580501520964009615e+03
6.856862256381174348e+01 2.237444906890411617e-02 1.167939812613562750e-01 1.313793916485289925e-01 2.419975841030939836e-09 9.781554801223310003e-01 2.580501520964009615e+03
6.856862256381174348e+01 2.237444906890411617e-02 1.167939812613562750e-01 1.313793916485289925e-01 2.419975841030939836e-09 9.781554801223310003e-01 2.580501520964009615e+03
6.744454864331505917e+01 2.217015689857930807e-02 1.188298385410200414e-01 1.211295097406377697e-01 2.383975617504776390e-09 9.703881094253351547e-01 2.582114752018475883e+03
6.744454864331505917e+01 2.217015689857930807e-02 1.188298385410200414e-01 1.211295097406377697e-01 2.383975617504776390e-09 9.703881094253351547e-01 2.582114752018475883e+03
6.744454864331505917e+01 2.217015689857930807e-02 1.188298385410200414e-01 1.211295097406377697e-01 2.383975617504776390e-09 9.703881094253351547e-01 2.582114752018475883e+03
6.744454864331505917e+01 2.217015689857930807e-02 1.188298385410200414e-01 1.211295097406377697e-01 2.383975617504776390e-09 9.703881094253351547e-01 2.582114752018475883e+03
6.744454864331505917e+01 2.217015689857930807e-02 1.188298385410200414e-01 1.211295097406377697e-01 2.383975617504776390e-09 9.703881094253351547e-01 2.582114752018475883e+03
6.744454864331505917e+01 2.217015689857930807e-02 1.188298385410200414e-01 1.211295097406377697e-01 2.383975617504776390e-09 9.703881094253351547e-01 2.582114752018475883e+03
6.744454864331505917e+01 2.217015689857930807e-02 1.188298385410200414e-01 1.211295097406377697e-01 2.383975617504776390e-09 9.703881094253351547e-01 2.582114752018475883e+03
6.740183919041444938e+01 2.241186094167100032e-02 1.198180579317977418e-01 1.095514662847110188e-01 2.347996812151401042e-09 9.635947941064259004e-01 2.583683027696961290e+03
6.740183919041444938e+01 2.241186094167100032e-02 1.198180579317977418e-01 1.095514662847110188e-01 2.347996812151401042e-09 9.635947941064259004e-01 2.583683027696961290e+03
6.740183919041444938e+01 2.241186094167100032e-02 1.198180579317977418e-01 1.095514662847110188e-01 2.347996812151401042e-09 9.635947941064259004e-01 2.583683027696961290e+03
6.762508783840084448e+01 2.242521415315357550e-02 1.194107958613216114e-01 1.193643786524472145e-01 2.386052159622441425e-09 9.665983392022847731e-01 2.582070608927470403e+03
6.762508783840084448e+01 2.242521415315357550e-02 1.194107958613216114e-01 1.193643786524472145e-01 2.386052159622441425e-09 9.665983392022847731e-01 2.582070608927470403e+03
6.762508783840084448e+01 2.242521415315357550e-02 1.194107958613216114e-01 1.193643786524472145e-01 2.386052159622441425e-09 9.665983392022847731e-01 2.582070608927470403e+03
6.762508783840084448e+01 2.242521415315357550e-02 1.194107958613216114e-01 1.193643786524472145e-01 2.386052159622441425e-09 9.665983392022847731e-01 2.582070608927470403e+03
6.762508783840084448e+01 2.242521415315357550e-02 1.194107958613216114e-01 1.193643786524472145e-01 2.386052159622441425e-09 9.665983392022847731e-01 2.582070608927470403e+03
6.762508783840084448e+01 2.242521415315357550e-02 1.194107958613216114e-01 1.193643786524472145e-01 2.386052159622441425e-09 9.665983392022847731e-01 2.582070608927470403e+03
6.762508783840084448e+01 2.242521415315357550e-02 1.194107958613216114e-01 1.193643786524472145e-01 2.386052159622441425e-09 9.665983392022847731e-01 2.582070608927470403e+03
6.762508783840084448e+01 2.242521415315357550e-02 1.194107958613216114e-01 1.193643786524472145e-01 2.386052159622441425e-09 9.665983392022847731e-01 2.582070608927470403e+03
6.762508783840084448e+01 2.242521415315357550e-02 1.194107958613216114e-01 1.193643786524472145e-01 2.386052159622441425e-09 9.665983392022847731e-01 2.582070608927470403e+03
6.765385837054658680e+01 2.235522215276309829e-02 1.189667649282976775e-01 1.111619850834041773e-01 2.348221746616135763e-09 9.660155134169645663e-01 2.581317001214802985e+03
6.765385837054658680e+01 2.235522215276309829e-02 1.189667649282976775e-01 1.111619850834041773e-01 2.348221746616135763e-09 9.660155134169645663e-01 2.581317001214802985e+03
6.765385837054658680e+01 2.235522215276309829e-02 1.189667649282976775e-01 1.111619850834041773e-01 2.348221746616135763e-09 9.660155134169645663e-01 2.581317001214802985e+03
6.765385837054658680e+01 2.235522215276309829e-02 1.189667649282976775e-01 1.111619850834041773e-01 2.348221746616135763e-09 9.660155134169645663e-01 2.581317001214802985e+03
6.765385837054658680e+01 2.235522215276309829e-02 1.189667649282976775e-01 1.111619850834041773e-01 2.348221746616135763e-09 9.660155134169645663e-01 2.581317001214802985e+03
6.765385837054658680e+01 2.235522215276309829e-02 1.189667649282976775e-01 1.111619850834041773e-01 2.348221746616135763e-09 9.660155134169645663e-01 2.581317001214802985e+03
6.765385837054658680e+01 2.235522215276309829e-02 1.189667649282976775e-01 1.111619850834041773e-01 2.348221746616135763e-09 9.660155134169645663e-01 2.581317001214802985e+03
6.793522325893097502e+01 2.234640791634581736e-02 1.183095440914995883e-01 1.081994811679247437e-01 2.326999299005513540e-09 9.664325557054599392e-01 2.583345446367853583e+03
6.793522325893097502e+01 2.234640791634581736e-02 1.183095440914995883e-01 1.081994811679247437e-01 2.326999299005513540e-09 9.664325557054599392e-01 2.583345446367853583e+03
6.882275617847270155e+01 2.249764852783780328e-02 1.166268025210516202e-01 9.707821691832027589e-02 2.265627638628603609e-09 9.740371822542254199e-01 2.577455707903654911e+03
6.882275617847270155e+01 2.249764852783780328e-02 1.166268025210516202e-01 9.707821691832027589e-02 2.265627638628603609e-09 9.740371822542254199e-01 2.577455707903654911e+03
